model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
