model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",725,0.7909263589822215,0.014835980744286074,0.018757727032106104
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",983,0.7887590721468264,0.014675663916583044,0.018606016000093865
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",816,0.7902865903206311,0.015152877014418817,0.01917390121509093
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",743,0.7907870318492903,0.01485269045813246,0.018782162402687343
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",1020,0.7883296649782444,0.014598885236783472,0.01851875666404912
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",236,0.7952116560150966,0.016940692404975803,0.021303375367845708
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",218,0.7954955090448129,0.0154554903683271,0.019428758795741286
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",594,0.7918791869779357,0.015692818661116815,0.019817187923584192
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",363,0.7938486390639948,0.012980601311472542,0.01635148146978952
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",364,0.7938413172275657,0.015745435427462897,0.019834487177428244
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",510,0.7924797332183826,0.014466222632590616,0.018254375507927568
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",553,0.792197166903576,0.014615337187358109,0.01844911569740194
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",573,0.7920649105767197,0.014310866239289254,0.018067794757969016
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",1005,0.7885621651923617,0.015190441081023428,0.01926346678998716
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",24,0.7988181611575543,0.01637527693711849,0.020499379875626944
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",10,0.7997189403271366,0.014665529668361797,0.01833835480045358
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",346,0.7941403701827671,0.01455227356147467,0.018324560881000852
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",159,0.7961999431512711,0.013801357365605763,0.017334034603144432
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",85,0.7974002805082535,0.015564040716228732,0.0195184791085205
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",397,0.7935271692414659,0.015217253597468672,0.019176726629303534
